epoch,partition,loss,val_loss,gen_loss,date
1,1,0.12111128121614456,0.08824656903743744,0.07395131140947342,2020-02-02
2,1,0.02127981185913086,0.06201862916350365,0.04805762320756912,2020-02-02
3,1,0.019204655662178993,0.05183848738670349,0.04018557816743851,2020-02-02
4,1,0.017673401162028313,0.05317911133170128,0.04178859665989876,2020-02-02
5,1,0.015586589463055134,0.044550761580467224,0.03388333320617676,2020-02-02
1,2,0.10143004357814789,0.03856894001364708,0.1435752660036087,2020-02-02
2,2,0.02869504876434803,0.02371179312467575,0.1007143035531044,2020-02-02
3,2,0.023296358063817024,0.0148983309045434,0.08815519511699677,2020-02-02
4,2,0.02237306721508503,0.01583356037735939,0.0846659392118454,2020-02-02
5,2,0.02111920900642872,0.012752031907439232,0.08065769076347351,2020-02-02
6,1,0.019878817722201347,0.05089089646935463,0.04583599045872688,2020-02-02
7,1,0.016678718850016594,0.042981408536434174,0.03248082846403122,2020-02-02
8,1,0.01668044924736023,0.04108180105686188,0.035421308130025864,2020-02-02
9,1,0.015444469638168812,0.04025135934352875,0.030535902827978134,2020-02-02
10,1,0.014543103985488415,0.03916177153587341,0.03069724515080452,2020-02-02
6,2,0.021246690303087234,0.010020913556218147,0.05308409407734871,2020-02-02
7,2,0.01886700466275215,0.009607510641217232,0.051299791783094406,2020-02-02
8,2,0.019609246402978897,0.017759351059794426,0.061329275369644165,2020-02-02
9,2,0.018314210698008537,0.011773901991546154,0.04757729545235634,2020-02-02
10,2,0.018195969983935356,0.017957307398319244,0.04247397184371948,2020-02-02
1,1,0.03220474720001221,0.026855546981096268,0.03309442102909088,2020-02-16
2,1,0.029427463188767433,0.02394934929907322,0.029520539566874504,2020-02-16
3,1,0.027664469555020332,0.02805209532380104,0.028794124722480774,2020-02-16
4,1,0.026916075497865677,0.02749422751367092,0.026893004775047302,2020-02-16
5,1,0.02646445855498314,0.024743571877479553,0.026870805770158768,2020-02-16
1,2,0.019845666363835335,0.03013749234378338,0.03373611345887184,2020-02-16
2,2,0.01600310578942299,0.024342352524399757,0.027878103777766228,2020-02-16
3,2,0.01547256764024496,0.02694845013320446,0.028759894892573357,2020-02-16
4,2,0.014223546721041203,0.024548938497900963,0.029146423563361168,2020-02-16
5,2,0.013112068176269531,0.027185263112187386,0.032821837812662125,2020-02-16
6,1,0.027212226763367653,0.026844749227166176,0.028251077979803085,2020-02-16
7,1,0.026669034734368324,0.023997481912374496,0.02725301869213581,2020-02-16
8,1,0.02571137063205242,0.02207391895353794,0.029564520344138145,2020-02-16
9,1,0.025627298280596733,0.029455672949552536,0.0300285704433918,2020-02-16
10,1,0.024629011750221252,0.02388494834303856,0.02905597910284996,2020-02-16
6,2,0.015023170039057732,0.02805376797914505,0.030499836429953575,2020-02-16
7,2,0.01438718382269144,0.023827629163861275,0.02758662961423397,2020-02-16
8,2,0.013349645771086216,0.02367883361876011,0.02805628627538681,2020-02-16
9,2,0.013160333968698978,0.027094680815935135,0.027191825211048126,2020-02-16
10,2,0.012881563976407051,0.026919789612293243,0.030006498098373413,2020-02-16
1,1,0.030830956995487213,0.046198878437280655,0.04140689596533775,2020-03-01
2,1,0.02947959117591381,0.04965883493423462,0.04255515709519386,2020-03-01
3,1,0.028796954080462456,0.04723614081740379,0.0398017093539238,2020-03-01
4,1,0.028173472732305527,0.04604911059141159,0.04147260636091232,2020-03-01
5,1,0.027705160900950432,0.04617495834827423,0.03975992649793625,2020-03-01
1,2,0.015597384423017502,0.021403394639492035,0.030291642993688583,2020-03-01
2,2,0.014185148291289806,0.023042256012558937,0.031207844614982605,2020-03-01
3,2,0.013594334945082664,0.02129104919731617,0.029160983860492706,2020-03-01
4,2,0.013026047497987747,0.019726471975445747,0.02864476479589939,2020-03-01
5,2,0.013056309893727303,0.02107870765030384,0.030520781874656677,2020-03-01
6,1,0.028894519433379173,0.043910570442676544,0.03903321549296379,2020-03-01
7,1,0.0281950943171978,0.04653642326593399,0.04336554929614067,2020-03-01
8,1,0.02760598435997963,0.051300644874572754,0.044862713664770126,2020-03-01
9,1,0.027055304497480392,0.04788422957062721,0.042197491973638535,2020-03-01
10,1,0.027229471132159233,0.04408234357833862,0.038734499365091324,2020-03-01
6,2,0.014123230241239071,0.025677457451820374,0.03371884673833847,2020-03-01
7,2,0.013188449665904045,0.02149883098900318,0.030609263107180595,2020-03-01
8,2,0.013329172506928444,0.02141948603093624,0.030807707458734512,2020-03-01
9,2,0.012397299520671368,0.02344965748488903,0.032290346920490265,2020-03-01
10,2,0.011811978183686733,0.02173897624015808,0.03020165115594864,2020-03-01
1,1,0.015485483221709728,0.01848728023469448,0.01998581551015377,2020-03-15
2,1,0.014344927854835987,0.020921796560287476,0.02523951418697834,2020-03-15
3,1,0.014299988746643066,0.018026310950517654,0.018663832917809486,2020-03-15
4,1,0.014575645327568054,0.02328944206237793,0.034138601273298264,2020-03-15
5,1,0.014104973524808884,0.01912689208984375,0.024065213277935982,2020-03-15
1,2,0.015165705233812332,0.006601036060601473,0.015600338578224182,2020-03-15
2,2,0.012595323845744133,0.007246846333146095,0.015825478360056877,2020-03-15
3,2,0.012123039923608303,0.006664436310529709,0.013762732967734337,2020-03-15
4,2,0.01201166957616806,0.007383801508694887,0.013710266910493374,2020-03-15
5,2,0.011978281661868095,0.00754156056791544,0.015196725726127625,2020-03-15
6,1,0.014665610156953335,0.018595358356833458,0.018581487238407135,2020-03-15
7,1,0.014320693910121918,0.01996275968849659,0.02575577236711979,2020-03-15
8,1,0.013652929104864597,0.021095966920256615,0.030567526817321777,2020-03-15
9,1,0.014065787196159363,0.024530278518795967,0.03526010736823082,2020-03-15
10,1,0.01387427281588316,0.020428264513611794,0.03307824581861496,2020-03-15
6,2,0.01272199023514986,0.0057804943062365055,0.014564271084964275,2020-03-15
7,2,0.012268572114408016,0.005520063452422619,0.013722877949476242,2020-03-15
8,2,0.011832420714199543,0.005667866673320532,0.013633868657052517,2020-03-15
9,2,0.012030713260173798,0.0069683026522397995,0.012851817533373833,2020-03-15
10,2,0.012282327748835087,0.008907601237297058,0.014866892248392105,2020-03-15
1,1,0.013531616888940334,0.742515504360199,0.27753502130508423,2020-03-29
2,1,0.012518739327788353,0.7322905659675598,0.2774089276790619,2020-03-29
3,1,0.012773911468684673,0.7236933708190918,0.2701200544834137,2020-03-29
4,1,0.012083625420928001,0.6939213275909424,0.25859034061431885,2020-03-29
5,1,0.012171617709100246,0.7093908786773682,0.26480671763420105,2020-03-29
1,2,0.0063780685886740685,0.008369533345103264,0.30567437410354614,2020-03-29
2,2,0.005025683436542749,0.007068771868944168,0.3055834174156189,2020-03-29
3,2,0.005348508246243,0.008435170166194439,0.3061147928237915,2020-03-29
4,2,0.0051468913443386555,0.0068452791310846806,0.3038182258605957,2020-03-29
5,2,0.004616351332515478,0.006445794831961393,0.2993542551994324,2020-03-29
6,1,0.012535949237644672,0.6989297866821289,0.2619195878505707,2020-03-29
7,1,0.01166753750294447,0.6882303357124329,0.259186327457428,2020-03-29
8,1,0.011592168360948563,0.69203120470047,0.2631104290485382,2020-03-29
9,1,0.011598235927522182,0.7006160020828247,0.269609659910202,2020-03-29
10,1,0.011142583563923836,0.6859782338142395,0.2686637043952942,2020-03-29
6,2,0.005220090039074421,0.006822915747761726,0.2829015851020813,2020-03-29
7,2,0.0044835517182946205,0.006821820512413979,0.2820189893245697,2020-03-29
8,2,0.004423597361892462,0.006050752475857735,0.28155580163002014,2020-03-29
9,2,0.004240876995027065,0.005992415361106396,0.2822151184082031,2020-03-29
10,2,0.004628174938261509,0.007020804565399885,0.27910056710243225,2020-03-29
1,1,0.027685705572366714,0.10520178079605103,0.07714448124170303,2020-04-12
2,1,0.02638836018741131,0.08563859015703201,0.06984630972146988,2020-04-12
3,1,0.026043657213449478,0.08076268434524536,0.06921957433223724,2020-04-12
4,1,0.025856586173176765,0.07428721338510513,0.06724269688129425,2020-04-12
